ds,y,exp_mean,adaptive,mich
2014-11-01,1.231524989320798,0.2825547747133919,1.2328701961954458,2.9
2014-12-01,0.6531213919623191,-0.1315814814252519,1.5128383667573297,3.0
2015-01-01,-0.22993097820542818,-0.6737593056262442,1.557758795574915,3.1
2015-02-01,-0.08703146293520536,-0.8614038220674903,1.1204746347724948,3.2
2015-03-01,-0.022031284423873476,-0.9770559247026238,1.6126949139408042,3.2
2015-04-01,-0.10403098939391064,-1.13545896166459,2.015125303606169,3.2
2015-05-01,0.03503321824429584,-0.8201075069465116,2.166947687079812,3.3
2015-06-01,0.1795718097550525,-0.5435454267394109,2.0589816945944195,3.1
2015-07-01,0.22568611104094582,-0.7446101838968273,1.9742378703305974,3.3
2015-08-01,0.2413037985344868,-0.799920302495607,1.7150983482969062,3.2
2015-09-01,0.008842961634170088,-1.0360151851253416,1.6840509711232077,3.0
2015-10-01,0.12761656067050708,-0.8756300103952074,1.6095417021513292,2.9
2015-11-01,0.4363182169185187,-0.7416991635642057,1.231524989320798,2.8
2015-12-01,0.6387247515364791,-0.8316412383897882,0.6531213919623191,2.8
2016-01-01,1.2375025026943876,-0.5636503798979152,-0.22993097820542818,2.5
2016-02-01,0.8472775790126619,-0.46487776477333476,-0.08703146293520536,2.8
2016-03-01,0.8916160965521946,-0.28958133000897834,-0.022031284423873476,3.0
2016-04-01,1.1726257503534843,-0.12617334162158755,-0.10403098939391064,2.6
2016-05-01,1.0784764621246223,-0.34855855623531,0.03503321824429584,2.8
2016-06-01,1.0792865347959424,0.07784971662337765,0.1795718097550525,2.7
2016-07-01,0.8683633430518256,0.11206963256007114,0.22568611104094582,2.8
2016-08-01,1.0553158595656864,0.08229235490439982,0.2413037985344868,2.8
2016-09-01,1.5486446201652182,0.10828664951005126,0.008842961634170088,2.8
2016-10-01,1.685924966243646,0.1789587055169769,0.12761656067050708,2.7
2016-11-01,1.6843334719788938,0.3203593772440075,0.4363182169185187,2.7
2016-12-01,2.0507989115119862,0.4594202942440082,0.6387247515364791,2.6
2017-01-01,2.5103933482571117,0.841577418994274,1.2375025026943876,2.5
2017-02-01,2.8103616813294208,0.9951386466732147,0.8472775790126619,2.5
2017-03-01,2.44119623655914,0.4162859411017075,0.8916160965521946,2.7
2017-04-01,2.176223471915395,0.4708763603859864,1.1726257503534843,2.8
2017-05-01,1.8563431667619756,0.5267838493998632,1.0784764621246223,2.4
2017-06-01,1.640565809959127,0.6091909052739056,1.0792865347959424,2.6
2017-07-01,1.7251073506566073,0.7194403488747313,0.8683633430518256,2.7
2017-08-01,1.92812155729698,0.5678182224630055,1.0553158595656864,2.5
2017-09-01,2.1805652303711787,0.9312132584663204,1.5486446201652182,2.4
2017-10-01,2.020757753132485,0.6480090809658177,1.685924966243646,2.4
